L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
Dr.parkA,Dr.parkB,1,정지수,City,null,null,Gonne,2,0.1,3,0,FALSE,FALSE,TRUE,FALSE
Dr.parkA,Dr.parkB,2,이순현,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,0,정지수,null,null,null,null,0,3.5,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,1,이순현,null,…….▼,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,2,정지수,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,0,이순현,null,null,null,null,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,1,정지수,null,박실장!▼,PonBell,null,0,0.2,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,2,이순현,null,가족들은!▼,null,null,0,0.2,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,0,정지수,null,내 가족들은 괜찮은가!▼,null,null,0,0.2,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,1,이순현,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,2,정지수,null,…….▼,null,null,0,5.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,0,이순현,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,1,정지수,null,한이사. 자네 급한가?▼,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,2,이순현,null,이런 일로 전화해서 미안하네. 내 부탁 하나만 들어주게.▼,null,null,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,0,정지수,null,내 가족들의 행방이 묘연해.▼,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,1,이순현,null,자네가 날…….▼,null,null,0,3.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,2,정지수,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,0,이순현,null,아니야.▼,null,null,0,1.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,1,정지수,null,"아니야, 아니야.▼",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,2,이순현,null,그래. 그렇지.▼,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,0,정지수,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,1,이순현,null,아무리 개판난 세상이라도 법치국가는 법치국가야.▼,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,2,정지수,null,아무리 그 놈이라 한들 내 가족들을…….▼,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,0,이순현,null,null,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Dr.parkA,Dr.parkB,1,정지수,null,"우선, 그 녀석이 오기 전에 모든 자료를 회수해야해.▼",null,null,0,0.1,0,3,FALSE,FALSE,FALSE,FALSE
